producer_id,producer_name,producer_email,producer_address,producer_city,producer_state,producer_state_name,producer_zip,producer_full_address,sales_org_id,contract_date,first_paid_policy_date,birthday_mm_dd,prem_fia_1_raw,prem_fia_1_fmt,prem_fia_2_raw,prem_fia_2_fmt,prem_fia_3_raw,prem_fia_3_fmt,prem_fia_4_raw,prem_fia_4_fmt,prem_fia_5_raw,prem_fia_5_fmt,prem_fia_6_raw,prem_fia_6_fmt,prem_fia_7_raw,prem_fia_7_fmt,prem_fia_8_raw,prem_fia_8_fmt,prem_fia_9_raw,onboarding_stage,next_step_due_date,days_overdue
85,Camille Gupta,camille302@yahoo.com,9920 Madison Ave,Salem,SC,South Carolina,95814,"9920 Madison Ave, Salem, SC 95814",ORG005,2023-03-31,2023-05-19,02-06,0,$0,0,$0,0,$0,0,$0,0,$0,27040,"$27,040",0,$0,0,$0,0,Active,,0
86,Ashley Parker,ashley_parker@yahoo.com,6816 Garcia Ave,Kingston,NJ,New Jersey,97177,"6816 Garcia Ave, Kingston, NJ 97177",ORG003,2021-09-23,2021-10-11,09-12,0,$0,0,$0,0,$0,67523,"$67,523",0,$0,0,$0,0,$0,0,$0,0,Contracting,2025-09-12,8
87,Catalina Martin,catalina.martin@hotmail.com,6106 Hill Way,Mount Bristol,MS,Mississippi,53207,"6106 Hill Way, Mount Bristol, MS 53207",ORG001,2022-09-07,2022-10-27,05-21,0,$0,367071,"$367,071",404328,"$404,328",263113,"$263,113",313979,"$313,979",0,$0,409918,"$409,918",316388,"$316,388",343086,Active,,0
88,Mei Rivera,meir@gmail.com,1698 Davis Way,Lower Centerville,KY,Kentucky,24184,"1698 Davis Way, Lower Centerville, KY 24184",ORG003,2020-06-16,2020-07-16,11-18,406823,"$406,823",276337,"$276,337",154008,"$154,008",0,$0,380030,"$380,030",233304,"$233,304",0,$0,356076,"$356,076",0,Appointed,2025-09-30,0
89,Yusuf Mitchell,yusuf827@yahoo.com,9122 Oak Pkwy,Dover,CA,California,13794,"9122 Oak Pkwy, Dover, CA 13794",ORG002,2024-03-31,2024-09-24,07-01,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Appointed,2025-09-26,8
90,Catherine Ryan,catherine186@gmail.com,6567 Cedar Dr,Franklin,TX,Texas,22026,"6567 Cedar Dr, Franklin, TX 22026",ORG005,2020-10-16,2021-01-19,04-02,0,$0,0,$0,61495,"$61,495",0,$0,28395,"$28,395",0,$0,0,$0,60758,"$60,758",26639,Active,,0
91,Ashley Carter,ashleyc@yahoo.com,9300 Moore Ave,Oak Grove,MN,Minnesota,30632,"9300 Moore Ave, Oak Grove, MN 30632",ORG005,2021-11-15,2021-11-19,03-22,0,$0,0,$0,0,$0,0,$0,49211,"$49,211",0,$0,0,$0,0,$0,58500,Contracting,2025-09-19,9
92,Richard Kelly,richard435@yahoo.com,7243 Lincoln Rd,Mount Salem,TX,Texas,55242,"7243 Lincoln Rd, Mount Salem, TX 55242",ORG004,2020-05-23,2020-08-28,03-07,0,$0,0,$0,40793,"$40,793",0,$0,0,$0,0,$0,48246,"$48,246",0,$0,26044,Active,,0
93,Mark Torres,mark_torres@yahoo.com,9820 Maple St,West Riverside,NY,New York,43491,"9820 Maple St, West Riverside, NY 43491",ORG003,2022-02-02,2022-03-02,09-28,80172,"$80,172",0,$0,0,$0,0,$0,77225,"$77,225",0,$0,0,$0,133163,"$133,163",97913,Appointed,2025-09-24,0
94,Sofia Thomas,sofia_thomas@yahoo.com,8726 Thompson Ln,Manchester,NY,New York,19447,"8726 Thompson Ln, Manchester, NY 19447",ORG004,2024-05-07,2024-08-25,07-02,0,$0,0,$0,0,$0,59551,"$59,551",0,$0,0,$0,0,$0,0,$0,0,Contracting,2025-10-05,0
95,William Parker,william590@yahoo.com,6627 Thompson Ct,Upper Franklin,CA,California,52568,"6627 Thompson Ct, Upper Franklin, CA 52568",ORG002,2020-10-07,2021-02-09,03-22,0,$0,0,$0,0,$0,206022,"$206,022",0,$0,0,$0,111752,"$111,752",0,$0,0,Active,,0
96,Ling Ricci,ling250@yahoo.com,6561 Johnson Ave,Hudson,NJ,New Jersey,54500,"6561 Johnson Ave, Hudson, NJ 54500",ORG002,2020-05-13,2020-08-29,11-27,25730,"$25,730",41356,"$41,356",0,$0,27557,"$27,557",46339,"$46,339",0,$0,0,$0,0,$0,0,Active,,0
97,Isabella Rossi,isabella117@outlook.com,3177 Clark Blvd,Oak Grove,MN,Minnesota,40968,"3177 Clark Blvd, Oak Grove, MN 40968",ORG001,2022-12-01,2022-12-22,06-11,0,$0,105367,"$105,367",0,$0,101397,"$101,397",0,$0,123494,"$123,494",0,$0,0,$0,0,Appointed,2025-09-12,5
98,Sharon Allen,sharon.allen@yahoo.com,2903 Clark Pl,Troy,UT,Utah,99277,"2903 Clark Pl, Troy, UT 99277",ORG005,2025-03-25,2025-08-17,03-02,0,$0,448698,"$448,698",156195,"$156,195",0,$0,255422,"$255,422",228218,"$228,218",334940,"$334,940",423206,"$423,206",208546,Active,,0
99,Francisco Fischer,franciscof@yahoo.com,4501 Miller St,Georgetown,OH,Ohio,50685,"4501 Miller St, Georgetown, OH 50685",ORG004,2021-11-23,2022-04-30,12-07,74896,"$74,896",0,$0,0,$0,0,$0,60867,"$60,867",52625,"$52,625",58957,"$58,957",0,$0,28569,Contracting,2025-09-21,1
100,Kavitha Jones,kavitha661@gmail.com,9734 Wilson Ct,Bristol,KY,Kentucky,15376,"9734 Wilson Ct, Bristol, KY 15376",ORG004,2020-12-25,2021-02-03,12-12,210945,"$210,945",0,$0,0,$0,345025,"$345,025",0,$0,154102,"$154,102",164006,"$164,006",321262,"$321,262",0,Active,,0
